--2016-05-25 00:16:26--  http://10.30.50.93:8000/
Connecting to 10.30.50.93:8000... connected.
HTTP request sent, awaiting response... 200 OK
Length: 13193358 (13M) [text/html]
Saving to: ‘index.html.7’

     0K .......... .......... .......... .......... ..........  0% 86.9K 2m28s
    50K .......... .......... .......... .......... ..........  0%  119K 2m7s
   100K .......... .......... .......... .......... ..........  1%  134K 1m56s
   150K .......... .......... .......... .......... ..........  1%  113K 1m55s
   200K .......... .......... .......... .......... ..........  1%  119K 1m53s
   250K .......... .......... .......... .......... ..........  2%  107K 1m53s
   300K .......... .......... .......... .......... ..........  2% 99.1K 1m55s
   350K .......... .......... .......... .......... ..........  3%  126K 1m52s
   400K .......... .......... .......... .......... ..........  3%  116K 1m51s
   450K .......... .......... .......... .......... ..........  3%  116K 1m51s
   500K .......... .......... .......... .......... ..........  4%  102K 1m51s
   550K .......... .......... .......... .......... ..........  4%  119K 1m50s
   600K .......... .......... .......... .......... ..........  5%  116K 1m49s
   650K .......... .......... .......... .......... ..........  5%  113K 1m49s
   700K .......... .......... .......... .......... ..........  5%  107K 1m49s
   750K .......... .......... .......... .......... ..........  6%  116K 1m48s
   800K .......... .......... .......... .......... ..........  6%  107K 1m48s
   850K .......... .......... .......... .......... ..........  6%  110K 1m48s
   900K .......... .......... .......... .......... ..........  7%  102K 1m48s
   950K .......... .......... .......... .......... ..........  7% 99.3K 1m48s
  1000K .......... .......... .......... .......... ..........  8%  104K 1m48s
  1050K .......... .......... .......... .......... ..........  8%  135K 1m46s
  1100K .......... .......... .......... .......... ..........  8%  102K 1m46s
  1150K .......... .......... .......... .......... ..........  9%  116K 1m46s
  1200K .......... .......... .......... .......... ..........  9%  116K 1m45s
  1250K .......... .......... .......... .......... .......... 10%  104K 1m45s
  1300K .......... .......... .......... .......... .......... 10%  134K 1m44s
  1350K .......... .......... .......... .......... .......... 10%  102K 1m44s
  1400K .......... .......... .......... .......... .......... 11%  119K 1m43s
  1450K .......... .......... .......... .......... .......... 11%  113K 1m42s
  1500K .......... .......... .......... .......... .......... 12% 94.7K 1m42s
  1550K .......... .......... .......... .......... .......... 12%  130K 1m42s
  1600K .......... .......... .......... .......... .......... 12% 99.3K 1m41s
  1650K .......... .......... .......... .......... .......... 13%  130K 1m41s
  1700K .......... .......... .......... .......... .......... 13% 96.8K 1m41s
  1750K .......... .......... .......... .......... .......... 13%  134K 1m40s
  1800K .......... .......... .......... .......... .......... 14%  119K 99s
  1850K .......... .......... .......... .......... .......... 14%  113K 99s
  1900K .......... .......... .......... .......... .......... 15%  110K 98s
  1950K .......... .......... .......... .......... .......... 15%  107K 98s
  2000K .......... .......... .......... .......... .......... 15%  112K 97s
  2050K .......... .......... .......... .......... .......... 16%  113K 97s
  2100K .......... .......... .......... .......... .......... 16%  110K 96s
  2150K .......... .......... .......... .......... .......... 17%  113K 96s
  2200K .......... .......... .......... .......... .......... 17%  104K 96s
  2250K .......... .......... .......... .......... .......... 17%  123K 95s
  2300K .......... .......... .......... .......... .......... 18% 90.6K 95s
  2350K .......... .......... .......... .......... .......... 18%  149K 94s
  2400K .......... .......... .......... .......... .......... 19%  107K 94s
  2450K .......... .......... .......... .......... .......... 19%  116K 93s
  2500K .......... .......... .......... .......... .......... 19%  113K 93s
  2550K .......... .......... .......... .......... .......... 20% 88.6K 93s
  2600K .......... .......... .......... .......... .......... 20%  126K 92s
