--2016-05-25 01:36:19--  http://10.30.50.93:8000/
Connecting to 10.30.50.93:8000... connected.
HTTP request sent, awaiting response... 200 OK
Length: 13193358 (13M) [text/html]
Saving to: ‘index.html.2’

     0K .......... .......... .......... .......... ..........  0%  124K 1m43s
    50K .......... .......... .......... .......... ..........  0% 2.12M 54s
   100K .......... .......... .......... .......... ..........  1%  230K 55s
   150K .......... .......... .......... .......... ..........  1%  238K 54s
   200K .......... .......... .......... .......... ..........  1%  186K 57s
   250K .......... .......... .......... .......... ..........  2%  308K 54s
   300K .......... .......... .......... .......... ..........  2%  238K 54s
   350K .......... .......... .......... .......... ..........  3%  238K 53s
   400K .......... .......... .......... .......... ..........  3%  231K 53s
   450K .......... .......... .......... .......... ..........  3%  238K 53s
   500K .......... .......... .......... .......... ..........  4%  231K 53s
   550K .......... .......... .......... .......... ..........  4%  238K 52s
   600K .......... .......... .......... .......... ..........  5%  239K 52s
   650K .......... .......... .......... .......... ..........  5%  232K 52s
   700K .......... .......... .......... .......... ..........  5%  238K 52s
   750K .......... .......... .......... .......... ..........  6%  237K 51s
   800K .......... .......... .......... .......... ..........  6%  232K 51s
   850K .......... .......... .......... .......... ..........  6%  237K 51s
   900K .......... .......... .......... .......... ..........  7%  238K 51s
   950K .......... .......... .......... .......... ..........  7%  219K 51s
  1000K .......... .......... .......... .......... ..........  8%  161K 52s
  1050K .......... .......... .......... .......... ..........  8%  416K 50s
  1100K .......... .......... .......... .......... ..........  8%  232K 50s
  1150K .......... .......... .......... .......... ..........  9%  238K 50s
  1200K .......... .......... .......... .......... ..........  9%  231K 50s
  1250K .......... .......... .......... .......... .......... 10%  238K 49s
  1300K .......... .......... .......... .......... .......... 10%  239K 49s
  1350K .......... .......... .......... .......... .......... 10%  157K 50s
  1400K .......... .......... .......... .......... .......... 11%  438K 49s
  1450K .......... .......... .......... .......... .......... 11%  238K 49s
  1500K .......... .......... .......... .......... .......... 12%  225K 48s
  1550K .......... .......... .......... .......... .......... 12%  239K 48s
  1600K .......... .......... .......... .......... .......... 12%  238K 48s
  1650K .......... .......... .......... .......... .......... 13%  231K 48s
  1700K .......... .......... .......... .......... .......... 13%  232K 48s
  1750K .......... .......... .......... .......... .......... 13%  231K 47s
  1800K .......... .......... .......... .......... .......... 14%  239K 47s
  1850K .......... .......... .......... .......... .......... 14%  238K 47s
  1900K .......... .......... .......... .......... .......... 15%  230K 47s
  1950K .......... .......... .......... .......... .......... 15%  238K 46s
  2000K .......... .......... .......... .......... .......... 15%  238K 46s
  2050K .......... .......... .......... .......... .......... 16%  231K 46s
  2100K .......... .......... .......... .......... .......... 16%  238K 46s
  2150K .......... .......... .......... .......... .......... 17%  238K 46s
  2200K .......... .......... .......... .......... .......... 17%  232K 45s
  2250K .......... .......... .......... .......... .......... 17%  225K 45s
  2300K .......... .......... .......... .......... .......... 18%  239K 45s
  2350K .......... .......... .......... .......... .......... 18%  231K 45s
  2400K .......... .......... .......... .......... .......... 19%  238K 45s
  2450K .......... .......... .......... .......... .......... 19%  231K 44s
  2500K .......... .......... .......... .......... .......... 19%  209K 44s
  2550K .......... .......... .......... .......... .......... 20%  268K 44s
  2600K .......... .......... .......... .......... .......... 20%  226K 44s
  2650K .......... .......... .......... .......... .......... 20%  231K 44s
  2700K .......... .......... .......... .......... .......... 21%  231K 43s
  2750K .......... .......... .......... .......... .......... 21%  220K 43s
  2800K .......... .......... .......... .......... .......... 22%  239K 43s
  2850K .......... .......... .......... .......... .......... 22%  238K 43s
  2900K .......... .......... .......... .......... .......... 22%  231K 42s
  2950K .......... .......... .......... .......... .......... 23%  238K 42s
  3000K .......... .......... .......... .......... .......... 23%  226K 42s
  3050K .......... .......... .......... .......... .......... 24%  237K 42s
  3100K .......... .......... .......... .......... .......... 24%  239K 42s
  3150K .......... .......... .......... .......... .......... 24%  219K 41s
  3200K .......... .......... .......... .......... .......... 25%  231K 41s
  3250K .......... .......... .......... .......... .......... 25%  238K 41s
  3300K .......... .......... .......... .......... .......... 26%  224K 41s
  3350K .......... .......... .......... .......... .......... 26%  238K 41s
  3400K .......... .......... .......... .......... .......... 26%  239K 40s
  3450K .......... .......... .......... .......... .......... 27%  231K 40s
  3500K .......... .......... .......... .......... .......... 27%  208K 40s
  3550K .......... .......... .......... .......... .......... 27%  238K 40s
  3600K .......... .......... .......... .......... .......... 28%  232K 40s
  3650K .......... .......... .......... .......... .......... 28%  238K 39s
  3700K .......... .......... .......... .......... .......... 29%  231K 39s
  3750K .......... .......... .......... .......... .......... 29%  238K 39s
  3800K .......... .......... .......... .......... .......... 29%  238K 39s
  3850K .......... .......... .......... .......... .......... 30%  220K 39s
  3900K .......... .......... .......... .......... .......... 30%  237K 38s
  3950K .......... .......... .......... .......... .......... 31%  194K 38s
  4000K .......... .......... .......... .......... .......... 31%  278K 38s
  4050K .......... .......... .......... .......... .......... 31%  239K 38s
  4100K .......... .......... .......... .......... .......... 32%  231K 37s
  4150K .......... .......... .......... .......... .......... 32%  233K 37s
  4200K .......... .......... .......... .......... .......... 32%  231K 37s
  4250K .......... .......... .......... .......... .......... 33%  232K 37s
  4300K .......... .......... .......... .......... .......... 33%  239K 37s
  4350K .......... .......... .......... .......... .......... 34%  238K 36s
  4400K .......... .......... .......... .......... .......... 34%  231K 36s
  4450K .......... .......... .......... .......... .......... 34%  239K 36s
  4500K .......... .......... .......... .......... .......... 35%  238K 36s
  4550K .......... .......... .......... .......... .......... 35%  160K 36s
  4600K .......... .......... .......... .......... .......... 36%  415K 35s
  4650K .......... .......... .......... .......... .......... 36%  239K 35s
  4700K .......... .......... .......... .......... .......... 36%  231K 35s
  4750K .......... .......... .......... .......... .......... 37%  239K 35s
  4800K .......... .......... .......... .......... .......... 37%  238K 34s
  4850K .......... .......... .......... .......... .......... 38%  231K 34s
  4900K .......... .......... .......... .......... .......... 38%  238K 34s
  4950K .......... .......... .......... .......... .......... 38%  232K 34s
  5000K .......... .......... .......... .......... .......... 39%  238K 34s
  5050K .......... .......... .......... .......... .......... 39%  239K 33s
  5100K .......... .......... .......... .......... .......... 39%  232K 33s
  5150K .......... .......... .......... .......... .......... 40%  224K 33s
  5200K .......... .......... .......... .......... .......... 40%  246K 33s
  5250K .......... .......... .......... .......... .......... 41%  231K 32s
  5300K .......... .......... .......... .......... .......... 41%  238K 32s
  5350K .......... .......... .......... .......... .......... 41%  144K 32s
  5400K .......... .......... .......... .......... .......... 42%  553K 32s
  5450K .......... .......... .......... .......... .......... 42%  239K 32s
  5500K .......... .......... .......... .......... .......... 43%  238K 31s
  5550K .......... .......... .......... .......... .......... 43%  231K 31s
  5600K .......... .......... .......... .......... .......... 43%  238K 31s
  5650K .......... .......... .......... .......... .......... 44%  232K 31s
  5700K .......... .......... .......... .......... .......... 44%  238K 31s
  5750K .......... .......... .......... .......... .......... 45%  239K 30s
  5800K .......... .......... .......... .......... .......... 45%  231K 30s
  5850K .......... .......... .......... .......... .......... 45%  239K 30s
  5900K .......... .......... .......... .......... .......... 46%  237K 30s
  5950K .......... .......... .......... .......... .......... 46%  231K 29s
  6000K .......... .......... .......... .......... .......... 46%  238K 29s
  6050K .......... .......... .......... .......... .......... 47%  231K 29s
  6100K .......... .......... .......... .......... .......... 47%  232K 29s
  6150K .......... .......... .......... .......... .......... 48%  237K 29s
  6200K .......... .......... .......... .......... .......... 48%  232K 28s
  6250K .......... .......... .......... .......... .......... 48%  238K 28s
  6300K .......... .......... .......... .......... .......... 49%  219K 28s
  6350K .......... .......... .......... .......... .......... 49%  246K 28s
  6400K .......... .......... .......... .......... .......... 50%  219K 28s
  6450K .......... .......... .......... .......... .......... 50%  254K 27s
  6500K .......... .......... .......... .......... .......... 50%  231K 27s
  6550K .......... .......... .......... .......... .......... 51%  238K 27s
  6600K .......... .......... .......... .......... .......... 51%  239K 27s
  6650K .......... .......... .......... .......... .......... 52%  231K 26s
  6700K .......... .......... .......... .......... .......... 52%  238K 26s
  6750K .......... .......... .......... .......... .......... 52%  239K 26s
  6800K .......... .......... .......... .......... .......... 53%  231K 26s
  6850K .......... .......... .......... .......... .......... 53%  238K 26s
  6900K .......... .......... .......... .......... .......... 53%  231K 25s
  6950K .......... .......... .......... .......... .......... 54%  238K 25s
  7000K .......... .......... .......... .......... .......... 54%  238K 25s
  7050K .......... .......... .......... .......... .......... 55%  232K 25s
  7100K .......... .......... .......... .......... .......... 55%  237K 25s
  7150K .......... .......... .......... .......... .......... 55%  238K 24s
  7200K .......... .......... .......... .......... .......... 56%  174K 24s
  7250K .......... .......... .......... .......... .......... 56%  203K 24s
  7300K .......... .......... .......... .......... .......... 57%  437K 24s
  7350K .......... .......... .......... .......... .......... 57%  232K 23s
  7400K .......... .......... .......... .......... .......... 57%  239K 23s
  7450K .......... .......... .......... .......... .......... 58%  237K 23s
  7500K .......... .......... .......... .......... .......... 58%  203K 23s
  7550K .......... .......... .......... .......... .......... 58%  261K 23s
  7600K .......... .......... .......... .......... .......... 59%  233K 22s
  7650K .......... .......... .......... .......... .......... 59%  237K 22s
  7700K .......... .......... .......... .......... .......... 60%  238K 22s
  7750K .......... .......... .......... .......... .......... 60%  232K 22s
  7800K .......... .......... .......... .......... .......... 60%  237K 22s
  7850K .......... .......... .......... .......... .......... 61%  238K 21s
  7900K .......... .......... .......... .......... .......... 61%  225K 21s
  7950K .......... .......... .......... .......... .......... 62%  239K 21s
  8000K .......... .......... .......... .......... .......... 62%  237K 21s
  8050K .......... .......... .......... .......... .......... 62%  232K 20s
  8100K .......... .......... .......... .......... .......... 63%  238K 20s
  8150K .......... .......... .......... .......... .......... 63%  231K 20s
  8200K .......... .......... .......... .......... .......... 64%  238K 20s
  8250K .......... .......... .......... .......... .......... 64%  239K 20s
  8300K .......... .......... .......... .......... .......... 64%  232K 19s
  8350K .......... .......... .......... .......... .......... 65%  237K 19s
  8400K .......... .......... .......... .......... .......... 65%  238K 19s
  8450K .......... .......... .......... .......... .......... 65%  231K 19s
  8500K .......... .......... .......... .......... .......... 66%  239K 19s
  8550K .......... .......... .......... .......... .......... 66%  238K 18s
  8600K .......... .......... .......... .......... .......... 67%  232K 18s
  8650K .......... .......... .......... .......... .......... 67%  238K 18s
  8700K .......... .......... .......... .......... .......... 67%  238K 18s
  8750K .......... .......... .......... .......... .......... 68%  173K 17s
  8800K .......... .......... .......... .......... .......... 68%  349K 17s
  8850K .......... .......... .......... .......... .......... 69%  231K 17s
  8900K .......... .......... .......... .......... .......... 69%  239K 17s
  8950K .......... .......... .......... .......... .......... 69%  237K 17s
  9000K .......... .......... .......... .......... .......... 70%  170K 16s
  9050K .......... .......... .......... .......... .......... 70%  362K 16s
  9100K .......... .......... .......... .......... .......... 71%  190K 16s
  9150K .......... .......... .......... .......... .......... 71%  286K 16s
  9200K .......... .......... .......... .......... .......... 71%  239K 16s
  9250K .......... .......... .......... .......... .......... 72%  213K 15s
  9300K .......... .......... .......... .......... .......... 72%  253K 15s
  9350K .......... .......... .......... .......... .......... 72%  238K 15s
  9400K .......... .......... .......... .......... .......... 73%  238K 15s
  9450K .......... .......... .......... .......... .......... 73%  231K 14s
  9500K .......... .......... .......... .......... .......... 74%  238K 14s
  9550K .......... .......... .......... .......... .......... 74%  231K 14s
  9600K .......... .......... .......... .......... .......... 74%  190K 14s
  9650K .......... .......... .......... .......... .......... 75%  308K 14s
  9700K .......... .......... .......... .......... .......... 75%  232K 13s
  9750K .......... .......... .......... .......... .......... 76%  238K 13s
  9800K .......... .......... .......... .......... .......... 76%  232K 13s
  9850K .......... .......... .......... .......... .......... 76%  231K 13s
  9900K .......... .......... .......... .......... .......... 77%  239K 13s
  9950K .......... .......... .......... .......... .......... 77%  231K 12s
 10000K .......... .......... .......... .......... .......... 78%  231K 12s
 10050K .......... .......... .......... .......... .......... 78%  239K 12s
 10100K .......... .......... .......... .......... .......... 78%  231K 12s
 10150K .......... .......... .......... .......... .......... 79%  238K 11s
 10200K .......... .......... .......... .......... .......... 79%  239K 11s
 10250K .......... .......... .......... .......... .......... 79%  225K 11s
 10300K .......... .......... .......... .......... .......... 80%  238K 11s
 10350K .......... .......... .......... .......... .......... 80%  239K 11s
 10400K .......... .......... .......... .......... .......... 81%  231K 10s
 10450K .......... .......... .......... .......... .......... 81%  232K 10s
 10500K .......... .......... .......... .......... .......... 81%  238K 10s
